,scores
744,999298.0
745,999317.0
746,998313.0
747,998519.0
748,998495.0
749,998472.0
750,998082.0
751,999062.0
752,999596.0
753,999058.0
754,-2804.0
755,998137.0
756,998467.0
757,999083.0
758,999041.0
759,999713.0
760,998936.0
761,999468.0
762,999767.0
763,999769.0
764,998269.0
765,999745.0
766,-2800.0
767,999723.0
768,998901.0
769,998733.0
770,999196.0
771,-1042.0
772,999242.0
773,-2800.0
774,999776.0
775,998424.0
776,998280.0
777,999452.0
778,998276.0
779,999423.0
780,999481.0
781,998395.0
782,999254.0
783,998066.0
784,998831.0
785,999775.0
786,999061.0
787,998838.0
788,998887.0
789,998761.0
790,998252.0
791,-2616.0
792,997991.0
793,998404.0
794,999741.0
795,998361.0
796,999769.0
797,999550.0
798,999492.0
799,999776.0
800,998859.0
801,999767.0
802,998873.0
803,998719.0
804,-2810.0
805,998558.0
806,999489.0
807,999379.0
808,998943.0
809,998355.0
810,999316.0
811,-2814.0
812,999676.0
813,997806.0
814,998530.0
815,999748.0
816,998717.0
817,999783.0
818,998390.0
819,-2814.0
820,-2788.0
821,-1153.0
822,999331.0
823,999318.0
824,999360.0
825,998901.0
826,998789.0
827,999036.0
828,999783.0
829,998894.0
830,999031.0
831,998509.0
832,999783.0
833,999018.0
834,998287.0
835,999199.0
836,999465.0
837,998574.0
838,998330.0
839,999532.0
840,999741.0
841,998175.0
842,998780.0
843,-2800.0
844,999762.0
845,999346.0
846,999776.0
847,999776.0
848,999494.0
849,999020.0
850,998306.0
851,999742.0
852,997970.0
853,998640.0
854,998586.0
855,999034.0
856,999735.0
857,999181.0
858,998551.0
859,998878.0
860,999755.0
861,999449.0
862,999379.0
863,999017.0
864,999769.0
865,998481.0
866,999734.0
867,998551.0
868,999747.0
869,998483.0
870,999741.0
871,998502.0
872,998292.0
873,999346.0
874,999520.0
875,999727.0
876,999536.0
877,998384.0
878,999047.0
879,-2838.0
880,998768.0
881,999760.0
882,998999.0
883,-2800.0
884,998264.0
885,999755.0
886,998593.0
887,999618.0
888,998831.0
889,999438.0
890,-1485.0
891,999562.0
892,998809.0
893,998299.0
894,-663.0
895,998636.0
896,998439.0
897,998754.0
898,999127.0
899,999755.0
900,999769.0
901,999429.0
902,999160.0
903,998666.0
904,998698.0
905,998010.0
906,998901.0
907,998670.0
908,998747.0
909,999070.0
910,997989.0
911,998887.0
912,998355.0
913,999743.0
914,998922.0
915,998390.0
916,999285.0
917,999776.0
918,999783.0
919,999741.0
920,-826.0
921,999173.0
922,999262.0
923,998299.0
924,998964.0
925,999739.0
926,999520.0
927,999710.0
928,999370.0
929,999606.0
930,998435.0
931,998586.0
932,999691.0
933,998139.0
934,998820.0
935,999039.0
936,999784.0
937,-2728.0
938,999545.0
939,998068.0
940,998327.0
941,999685.0
942,997949.0
943,998950.0
944,999062.0
945,998083.0
946,998897.0
947,998306.0
948,999097.0
949,998212.0
950,-1915.0
951,999619.0
952,998511.0
953,-789.0
954,998780.0
955,999333.0
956,999643.0
957,998677.0
958,999080.0
959,999755.0
960,999507.0
961,998936.0
962,998376.0
963,999594.0
964,998943.0
965,998859.0
966,999755.0
967,999720.0
968,998407.0
969,998481.0
970,997982.0
971,999698.0
972,999698.0
973,998495.0
974,999048.0
975,999175.0
976,998294.0
977,-2804.0
978,999006.0
979,998929.0
980,999102.0
981,998177.0
982,998523.0
983,998418.0
984,998362.0
985,999762.0
986,998552.0
987,998730.0
988,999050.0
989,999164.0
990,999353.0
991,999740.0
992,998201.0
993,998147.0
994,-2776.0
995,998724.0
996,998754.0
997,997946.0
998,998999.0
999,998264.0
