,scores
607,-116.0
608,-98.0
609,-129.0
610,-79.0
611,-88.0
612,-110.0
613,-78.0
614,-78.0
615,-100.0
616,-176.0
617,-104.0
618,-77.0
619,-89.0
620,-98.0
621,-100.0
622,-88.0
623,-125.0
624,-100.0
625,-76.0
626,-105.0
627,-84.0
628,-76.0
629,-102.0
630,-66.0
631,-83.0
632,-77.0
633,-64.0
634,-102.0
635,-78.0
636,-85.0
637,-187.0
638,-117.0
639,-90.0
640,-94.0
641,-82.0
642,-96.0
643,-235.0
644,-72.0
645,-134.0
646,-109.0
647,-117.0
648,-139.0
649,-175.0
650,-90.0
651,-104.0
652,-82.0
653,-99.0
654,-95.0
655,-101.0
656,-163.0
657,-87.0
658,-93.0
659,-102.0
660,-85.0
661,-83.0
662,-90.0
663,-81.0
664,-77.0
665,-95.0
666,-86.0
667,-80.0
668,-99.0
669,-95.0
670,-92.0
671,-85.0
672,-91.0
673,-107.0
674,-95.0
675,-80.0
676,-92.0
677,-88.0
678,-115.0
679,-88.0
680,-101.0
681,-100.0
682,-97.0
683,-93.0
684,-119.0
685,-82.0
686,-100.0
687,-107.0
688,-159.0
689,-69.0
690,-82.0
691,-69.0
692,-101.0
693,-101.0
694,-83.0
695,-114.0
696,-99.0
697,-90.0
698,-121.0
699,-89.0
700,-85.0
701,-82.0
702,-134.0
703,-75.0
704,-100.0
705,-102.0
706,-81.0
707,-89.0
708,-75.0
709,-93.0
710,-89.0
711,-66.0
712,-82.0
713,-89.0
714,-86.0
715,-88.0
716,-100.0
717,-77.0
718,-98.0
719,-87.0
720,-76.0
721,-84.0
722,-91.0
723,-100.0
724,-76.0
725,-96.0
726,-86.0
727,-88.0
728,-105.0
729,-120.0
730,-93.0
731,-138.0
732,-103.0
733,-100.0
734,-88.0
735,-80.0
736,-119.0
737,-87.0
738,-114.0
739,-87.0
740,-91.0
741,-107.0
742,-93.0
743,-62.0
744,-114.0
745,-73.0
746,-81.0
747,-86.0
748,-91.0
749,-95.0
750,-87.0
751,-87.0
752,-97.0
753,-79.0
754,-105.0
755,-120.0
756,-97.0
757,-69.0
758,-140.0
759,-155.0
760,-79.0
761,-89.0
762,-192.0
763,-100.0
764,-89.0
765,-96.0
766,-63.0
767,-86.0
768,-115.0
769,-85.0
770,-174.0
771,-84.0
772,-117.0
773,-90.0
774,-197.0
775,-102.0
776,-128.0
777,-116.0
778,-87.0
779,-85.0
780,-70.0
781,-170.0
782,-93.0
783,-76.0
784,-83.0
785,-91.0
786,-99.0
787,-110.0
788,-91.0
789,-92.0
790,-75.0
791,-82.0
792,-101.0
793,-97.0
794,-76.0
795,-65.0
796,-103.0
797,-89.0
798,-74.0
799,-76.0
800,-99.0
801,-122.0
802,-80.0
803,-167.0
804,-87.0
805,-92.0
806,-82.0
807,-93.0
808,-90.0
809,-102.0
810,-101.0
811,-100.0
812,-83.0
813,-77.0
814,-101.0
815,-92.0
816,-82.0
817,-122.0
818,-100.0
819,-75.0
820,-83.0
821,-84.0
822,-83.0
823,-88.0
824,-101.0
825,-84.0
826,-85.0
827,-79.0
828,-94.0
829,-69.0
830,-77.0
831,-98.0
832,-87.0
833,-84.0
834,-80.0
835,-161.0
836,-104.0
837,-84.0
838,-93.0
839,-66.0
840,-75.0
841,-143.0
842,-88.0
843,-78.0
844,-95.0
845,-107.0
846,-79.0
847,-101.0
848,-95.0
849,-68.0
850,-98.0
851,-97.0
852,-84.0
853,-67.0
854,-93.0
855,-130.0
856,-87.0
857,-81.0
858,-84.0
859,-93.0
860,-82.0
861,-77.0
862,-89.0
863,-68.0
864,-100.0
865,-222.0
866,-98.0
867,-83.0
868,-82.0
869,-99.0
870,-92.0
871,-99.0
872,-91.0
873,-89.0
874,-95.0
875,-74.0
876,-100.0
877,-86.0
878,-106.0
879,-85.0
880,-95.0
881,-85.0
882,-91.0
883,-76.0
884,-97.0
885,-119.0
886,-108.0
887,-83.0
888,-130.0
889,-78.0
890,-127.0
891,-68.0
892,-100.0
893,-93.0
894,-93.0
895,-136.0
896,-63.0
897,-69.0
898,-96.0
899,-105.0
900,-81.0
901,-83.0
902,-83.0
903,-100.0
904,-83.0
905,-83.0
906,-94.0
907,-90.0
908,-108.0
909,-65.0
910,-105.0
911,-85.0
912,-82.0
913,-94.0
914,-107.0
915,-92.0
916,-82.0
917,-111.0
918,-87.0
919,-115.0
920,-114.0
921,-99.0
922,-89.0
923,-105.0
924,-88.0
925,-84.0
926,-82.0
927,-84.0
928,-87.0
929,-83.0
930,-97.0
931,-119.0
932,-84.0
933,-96.0
934,-78.0
935,-85.0
936,-65.0
937,-124.0
938,-69.0
939,-97.0
940,-76.0
941,-97.0
942,-83.0
943,-95.0
944,-170.0
945,-83.0
946,-67.0
947,-99.0
948,-83.0
